Адрес	Широта	Долгота	"Уникальный идентификатор объявления"	"Начало размещения"	"Окончание размещения"	"Способ размещения"	"Услуга продвижения"	"Номер объявления на Авито"	"Контактное лицо"	"Номер телефона"	"Идентификатор адреса"	"Способ связи"	Addresses	"Адреса отгрузки"	Категория	"Описание объявления"	"Названия фото"	"Ссылки на фото"	"Ссылка на видео"	"Настройка цены целевого действия"	"Настройка цены целевого действия: автоматическая"	"Настройка цены целевого действия: ручная"	"Название объявления"	"Интернет звонки"	"Устройства для приёма звонков"	"Способ доставки"	"Вес (Для Доставки)"	"Длина (Для Доставки)"	"Высота (Для Доставки)"	"Ширина (Для Доставки)"	Возвраты	"Субсидирование доставки"	Цена	"URL видеофайла"	"Вид товара"	"Вид объявления"	"Тип товара"	"Вид запчасти"	"Тип детали двигателя"	Состояние	Происхождение	Доступность	Производитель	"Номер детали OEM"	"Производитель оригинала"	"Номер оригинала"	"Авто для которых подходит запчасть"	"Включая НДС"	"Оптовые продажи"	"Тип минимального заказа"	"Количество в минимальном заказе"	Фасовка	"Количество в фасовке"	"В чём измеряются товары"	"Скидка за опт"	"Размер скидки за опт"
"Томская обл., Стрежевой"			8139956735					8139956735							"Запчасти и аксессуары"	"Двигатель Chery Amulet SQR477F в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_chery_amulet_sqr477f_v_nalichii_8139956735"							"Двигатель Chery Amulet SQR477F в наличии"										94500							new																
"Пензенская обл., Пенза"			8139956679					8139956679							"Запчасти и аксессуары"	"Двигатель Kia Cadenza G4KE в наличии
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_kia_cadenza_g4ke_v_nalichii_8139956679"							"Двигатель Kia Cadenza G4KE в наличии"										135000							new																
"Иркутская обл., Иркутск"			8139956261					8139956261							"Запчасти и аксессуары"	"Двигатель Kia Rio G4EE в наличии
Город: Иркутская обл., Иркутск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/irkutsk/zapchasti_i_aksessuary/dvigatel_kia_rio_g4ee_v_nalichii_8139956261"							"Двигатель Kia Rio G4EE в наличии"										108000							new																
"Томская обл., Стрежевой"			8139956222					8139956222							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4KE в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4ke_v_nalichii_8139956222"							"Двигатель Kia Sportage G4KE в наличии"										135000							new																
"Ростовская обл., Таганрог"			8139955128					8139955128							"Запчасти и аксессуары"	"Двигатель Vortex Estina SQR477F в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_vortex_estina_sqr477f_v_nalichii_8139955128"							"Двигатель Vortex Estina SQR477F в наличии"										94500							new																
"Московская обл., Луховицы"			8139953930					8139953930							"Запчасти и аксессуары"	"Двигатель Kia ProCeed G4FA в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_kia_proceed_g4fa_v_nalichii_8139953930"							"Двигатель Kia ProCeed G4FA в наличии"										81000							new																
"Томская обл., Стрежевой"			8139953562					8139953562							"Запчасти и аксессуары"	"Двигатель Chery Bonus SQR477F в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_chery_bonus_sqr477f_v_nalichii_8139953562"							"Двигатель Chery Bonus SQR477F в наличии"										94500							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139953506					8139953506							"Запчасти и аксессуары"	"Двигатель Kia Sorento G4KE в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_kia_sorento_g4ke_v_nalichii_8139953506"							"Двигатель Kia Sorento G4KE в наличии"										135000							new																
"Челябинская обл., Магнитогорский г.о., Магнитогорск"			8139953429					8139953429							"Запчасти и аксессуары"	"Двигатель Lifan Smily LF479Q3
Город: Челябинская обл., Магнитогорский г.о., Магнитогорск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/magnitogorsk/zapchasti_i_aksessuary/dvigatel_lifan_smily_lf479q3_8139953429"							"Двигатель Lifan Smily LF479Q3"										94990							new																
"Томская обл., Стрежевой"			8139951622					8139951622							"Запчасти и аксессуары"	"Двигатель Geely MK Cross MR479QA в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_geely_mk_cross_mr479qa_v_nalichii_8139951622"							"Двигатель Geely MK Cross MR479QA в наличии"										98100							new																
"Ростовская обл., Таганрог"			8139951451					8139951451							"Запчасти и аксессуары"	"Двигатель Geely Okavango JLH-3G15TD в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_geely_okavango_jlh-3g15td_v_nalichii_8139951451"							"Двигатель Geely Okavango JLH-3G15TD в наличии"										136800							new																
"Ростовская обл., Таганрог"			8139950880					8139950880							"Запчасти и аксессуары"	"Двигатель кiа Сeratо G4NA
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_kia_serato_g4na_8139950880"							"Двигатель кiа Сeratо G4NA"										135000							new																
"Томская обл., Стрежевой"			8139950475					8139950475							"Запчасти и аксессуары"	"Двигатель Chery E5 SQR477F в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_chery_e5_sqr477f_v_nalichii_8139950475"							"Двигатель Chery E5 SQR477F в наличии"										94500							new																
"Московская обл., Луховицы"			8139947933					8139947933							"Запчасти и аксессуары"	"Двигатель Chery A5 SQR481FC в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_chery_a5_sqr481fc_v_nalichii_8139947933"							"Двигатель Chery A5 SQR481FC в наличии"										116100							new																
"Ростовская обл., Таганрог"			8139946988					8139946988							"Запчасти и аксессуары"	"Двигатель Kia Rio G4FA в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_kia_rio_g4fa_v_nalichii_8139946988"							"Двигатель Kia Rio G4FA в наличии"										81000							new																
"Ростовская обл., Шахты"			8139946837					8139946837							"Запчасти и аксессуары"	"Двигатель ZAZ Forza SQR477F в наличии
Город: Ростовская обл., Шахты
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/shahty/zapchasti_i_aksessuary/dvigatel_zaz_forza_sqr477f_v_nalichii_8139946837"							"Двигатель ZAZ Forza SQR477F в наличии"										94500							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139946229					8139946229							"Запчасти и аксессуары"	"Двигатель Hyundai i30 G4FC в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_hyundai_i30_g4fc_v_nalichii_8139946229"							"Двигатель Hyundai i30 G4FC в наличии"										81000							new																
